City,State,District
Accomack County,Virginia,2
Akron,Ohio,11
Albany,New York,20
Albion,Michigan,3
Allapattah,Florida,24
Amarillo,Texas,13
Anchorage,Alaska,1
Anniston,Alabama,3
Antioch,California,9
Apopka,Florida,10
Appling,Georgia,10
Ardmore,Oklahoma,4
Arlington,Texas,6
Arvada,Colorado,7
Arverne,New York,5
Athens,Georgia,10
Auburn,Alabama,3
Augusta,Georgia,12
Austin,Texas,21
Bakersfield,California,23
Bamberg,South Carolina,3
Barre,Vermont,1
Bartow County,Georgia,11
Bastrop,Texas,10
Baton Rouge,Louisiana,6
Beachwood,Ohio,11
Beaumont,Texas,14
Bell,Florida,2
Belle Glade,Florida,20
Bellflower,California,38
Bennettsville,South Carolina,7
Benton Harbor,Michigan,6
Berlin,Georgia,8
Bessemer,Alabama,7
Bethesda,Maryland,8
Blountsville,Alabama,6
Blythevill,Arkansas,1
Boston,Massachusetts,8
Bridgeport,Connecticut,4
Bridgeton,New Jersey,2
Brockton,Massachusetts,8
Bronx,New York,14
Brooklyn,New York,9
Brooksville,Florida,11
Brownsville,Texas,34
Buffalo,New York,26
Burlington,Washington,2
Cadiz,Kentucky,1
Calumet City,Illinois,2
Camden,New Jersey,1
Cape Coral,Florida,19
Capitol Heights,Maryland,4
Centreville,Illinois,12
Champaign,Illinois,13
Charleston,West Virginia,2
Cherokee,Alabama,4
Chester,Pennsylvania,1
Cincinatti,Ohio,12
Citronelle,Alabama,1
Clarksville,Tennessee,7
Clewiston,Florida,25
Coachella,California,36
Columbia,Missouri,4
Columbia,South Carolina,6
Columbia,Tennessee,4
Columbus,Georgia,2
Compton,California,44
Corona,New York,14
Corpus Christi,Texas,27
Crosby,Texas,36
Culpeper,Virginia,7
Dadeville,Alabama,3
Dallas,Texas,30
Danville,Illinois,15
Darlington County,South Carolina,7
Davenport,Iowa,2
Dayton,Ohio,10
Decatur,Georgia,5
Dekalb County,Georgia,6
Del Valle,Texas,35
Denver,Colorado,1
