City,State,District
Albuquerque,New Mexico,1
Alturas,California,1
Atlanta,Georgia,5
Baltimore,Maryland,7
Belfair,Washington,6
Birmingham,Alabama,7
Bristol,Tennessee,1
Brookhaven,Mississippi,3
Brooksville,Alabama,4
Caroline,Virginia,1
Chapel Hill,North Carolina,4
Charleston,South Carolina,6
Charlotte,North Carolina,12
Chattanooga,Tennessee,3
Chelsea,Massachusetts,7
Chesapeake,Virginia,4
Chicago,Illinois,7
Clarkesville,Georgia,9
Cleveland,Ohio,11
Coleraine Township,Ohio,7
Colorado Springs,Colorado,5
Columbus,Ohio,3
Conyers,Georgia,4
Cottonwood,Alabama,2
Crestview,Florida,1
Daytona Beach,Florida,6
Decatur,Illinois,13
Deer Lodge,Montana,1
Detroit,Michigan,13
Douglasville,Georgia,13
Elberton,Georgia,9
Ferguson,Missouri,1
Flagstaff,Arizona,1
Forestville,Maryland,4
Fort Myers,Florida,19
Gates,New York,21
Glendale,Arizona,7
Greenhill,Alabama,3
Greenville,Georgia,3
Halifax ,Virginia,5
Hazelwood,Missouri,1
Hesston,Kansas,4
Houston,Texas,18
Indianapolis,Indiana,7
Inglis,Florida,2
Isla Vista,California,24
Iruka,Mississippi,3
Jacksonville,Florida,5
Jurupa Valley,California,41
Kalamazoo,Michigan,6
Kansas City,Kansas,3
Katy,Texas,22
Kennesaw,Georgia,11
Killeen,Texas,31
King,North Carolina,5
Lafayette,Louisiana,3
LaGrange,Georgia,3
Lakeland ,Florida,15
Las Vegas,Nevada,1
Lawrenceburg,Tennessee,7
Little Water,New Mexico,3
Long Beach,California,47
Los Angeles,California,34
Louisburg,North Carolina,2
Louisville,Kentucky,3
Marysville,Washington,2
Memphis,Tennessee,9
Menasha,Wisconsin,6
Mesa,Arizona,9
Miami Gardens,Florida,24
Milwaukee,Wisconsin,4
Minneapolis,Minnesota,5
Monroeville,Pennsylvania,14
Morgantown,West Virginia,1
Morven,North Carolina,9
Moscow,Idaho,1
Muskegon Heights,Michigan,2
New Orleans,Louisiana,2
New Port Richey,Florida,12
New York City,New York,12
Newark,New Jersey,10
Oakland,Maine,2
Omaha,Nebraska,2
Orlando,Florida,10
Panama City Beach,Florida,2
Pennsburg,Pennsylvania,6
Perris,California,41
Phoenix,Arizona,7
Pittsburg,Pennsylvania,14
Plantation,Florida,26
Platte,South Dakota,1
Richmond,Virginia,4
River Forest,Illinois,7
Roanoke,Virginia,6
Rochester,New York,25
Rome,Georgia,14
Roseburg,Oregon,4
Roswell,Georgia,6
San Bernadino,California,32
San Francisco,California,12
Seattle,Washington,7
Sherman ,Texas,4
Suwanee,Georgia,7
Syracuse,New York,24
Tallahassee,Florida,2
Tampa,Florida,14
Tarboro,North Carolina,1
Tennessee Colony,Texas,5
Trenton,New Jersey,12
Tuscon,Arizona,4
Tusla,Oklahoma,2
Tyrone,Missouri,8
Uvalde,Texas,23
Vallejo,California,5
Ware Neck,Virginia,1
Waycross,Georgia,1
Wetumpka,Alabama,2
Wichita,Kansas,4
Wilkinsburg,Pennsylvania,14
Wilmington,Delaware,1
Woodbridge,Virginia,11
